Count Start Date,Road Name,Carriageway Start Name,Carriageway End Name,5 Day ADT,7 Day ADT,Saturday Volume,Sunday Volume,AM Peak Volume,AM Peak Hour,Mid Peak Volume,Mid Peak Hour,PM Peak Volume,PM Peak Hour,Car,LCV,MCV,HCV-I,HCV-II,HCV Total,latitude,longitude
2018-02-07,WRIGHT RD (KINGSEAT),MCKENZIE RD,MATHESON WAY,338.0,306.0,241.0,212.0,38,845.0,29,1115.0,44,1445.0,0.89,0.02,0.06,0.01,0.0,0.07,-37.12370608922782,174.7743785719421
2018-02-07,WAIAU PA RD,KINGSEAT RD,WHITECLIFFS DR,1901.0,1722.0,1452.0,1099.0,190,845.0,162,1300.0,199,1830.0,0.85,0.03,0.11,0.0,0.0,0.12,-37.152869765557526,174.78355011132348
2018-02-07,WALTERS RD (KARAKA),LINWOOD RD,BLACKBRIDGE RD,2983.0,2518.0,1423.0,1286.0,479,845.0,348,1300.0,224,1830.0,0.89,0.01,0.1,0.0,0.0,0.1,-37.09385628274955,174.90496145087533
2018-02-07,URQUHART RD,LINWOOD RD,LAING RD,544.0,470.0,322.0,250.0,59,845.0,52,1300.0,59,1830.0,0.84,0.02,0.11,0.01,0.01,0.13,-37.09189356978278,174.85884001709417
2018-02-07,PERCY MILLEN DR,WAIAU PA RD,END,199.0,191.0,191.0,153.0,22,,23,945.0,30,,0.91,0.03,0.05,0.01,0.0,0.06,-37.148856961469946,174.7553183485809
2018-02-08,CHURCH RD (MANGERE BRIDGE),WOODWARD AVE,SCOTT AVE,8003.0,7532.0,6860.0,5852.0,832,,577,,792,,0.94,0.0,0.05,0.01,0.0,0.06,-36.94162835225189,174.78356484750785
2018-02-08,CORONATION RD (MANGERE),CHURCH RD RAB,BRIDGE CRT,3944.0,3768.0,3667.0,2991.0,262,,309,,368,,0.93,0.01,0.05,0.01,0.0,0.06,-36.94030897971531,174.7867904038175
2018-02-08,CORONATION RD (MANGERE),DOMAIN RD,TAYLOR RD,10648.0,10010.0,9250.0,7581.0,799,,771,,1125,,0.94,0.0,0.03,0.03,0.0,0.06,-36.94595538697217,174.78831475857083
2018-02-08,CORONATION RD (MANGERE),DUNSTALL PL,DOMAIN RD,11841.0,11087.0,10202.0,8202.0,1046,,807,,1293,,0.96,0.0,0.02,0.02,0.0,0.04,-36.94725153585675,174.78903007577028
2018-02-08,MATAKANA RD,URBAN_RURAL,GOLF RD,8811.0,8085.0,6982.0,5561.0,749,,747,,854,,0.92,0.02,0.05,0.01,0.0,0.06,-36.38329924664123,174.6613406468148
2018-02-08,CORONATION RD (MANGERE),MCKENZIE RD RAB,TANNERS RD,11762.0,11131.0,10771.0,8334.0,807,,824,,1154,,0.92,0.0,0.06,0.02,0.0,0.08,-36.951867735490644,174.79132798865317
2018-02-08,CHURCH RD (MANGERE BRIDGE),CORONATION RD RAB,WOODWARD AVE,8907.0,8348.0,7455.0,6445.0,893,,617,,844,,0.94,0.0,0.05,0.01,0.0,0.06,-36.94129119373246,174.7862069887893
2018-02-08,MATAKANA RD,SHARP RD,RURAL_URBAN,10250.0,9490.0,8449.0,6733.0,927,,915,,954,,0.93,0.02,0.04,0.01,0.0,0.05,-36.36524617817134,174.70782378108714
2018-02-08,ARTILLERY DR,MAADI PL,IMJIN PL,396.0,360.0,308.0,234.0,79,,35,1245.0,65,,0.98,0.0,0.02,0.0,0.0,0.02,-37.05406839848242,174.94687773242805
2018-02-08,CORONATION RD (MANGERE),MOUNTAIN RD,HOCKEN PL,12137.0,11373.0,10501.0,8429.0,911,,819,,1326,,0.94,0.0,0.03,0.03,0.0,0.06,-36.949048690802755,174.78999297167383
2018-02-08,CORONATION RD (MANGERE),TANNERS RD,MOUNTAIN RD,11471.0,10856.0,10405.0,8231.0,801,,808,,1180,,0.94,0.0,0.03,0.03,0.0,0.06,-36.9498633618344,174.7903601720407
2018-02-08,LEIGH RD (LEIGH),MATAKANA VALLEY RD,URBAN_RURAL,8634.0,8214.0,8020.0,6307.0,814,,810,,903,,0.92,0.02,0.04,0.02,0.0,0.06,-36.35165060724882,174.71865912610164
2018-02-08,CORONATION RD (MANGERE),TAYLOR RD,MCINTYRE RD RAB,9936.0,9382.0,8781.0,7216.0,826,,723,,936,,0.93,0.0,0.04,0.03,0.0,0.07,-36.943443374236,174.78753736474476
2018-02-08,CHURCH RD (MANGERE BRIDGE),SCOTT AVE,TAINUI TCE,7532.0,7026.0,6204.0,5322.0,787,,520,,743,,0.95,0.01,0.03,0.01,0.0,0.04,-36.942350949776596,174.78046003792662
2018-02-08,FAIRDALE AVE,GALILEE AVE,SHERALEE PL,576.0,533.0,491.0,365.0,52,,50,1245.0,60,1845.0,0.98,0.0,0.02,0.0,0.0,0.02,-37.06639293736971,174.96956298162044
2018-02-08,MATAKANA VALLEY RD,MATAKANA RD,URBAN_RURAL,6123.0,5901.0,6518.0,4178.0,518,,771,,574,,0.92,0.0,0.05,0.03,0.0,0.08,-36.350153325122704,174.71496004417725
2018-02-08,HOLLY ST,VICTOR ST,COLORADO PL,2328.0,2090.0,1624.0,1365.0,337,,150,,340,,0.97,0.0,0.02,0.01,0.0,0.03,-36.88902268292463,174.69328824046582
2018-02-08,ORION ST,MARNE RD,SMITHS AVE (CENTRE CROSSING LHS),512.0,467.0,378.0,330.0,51,,43,1245.0,59,1830.0,0.95,0.01,0.03,0.01,0.0,0.04,-37.07093675083275,174.95477743018122
2018-02-08,OLD WAIROA RD,PUKEROA PL,BRIGHTWELL ST,1789.0,1681.0,1591.0,1233.0,153,,132,1245.0,171,1445.0,0.93,0.01,0.05,0.01,0.0,0.06,-37.051363407980844,174.96007740177433
2018-02-08,MOUNTAIN RD (MANGERE),KAMAKA RD,PUTINI RD,2865.0,2502.0,1777.0,1412.0,309,,191,1245.0,380,1445.0,0.94,0.0,0.06,0.0,0.0,0.06,-36.95271619166153,174.78646259931307
2018-02-08,STURDEE RD (MANUREWA),MARTIN RD,CLARK ST,2998.0,2541.0,1479.0,1318.0,720,,295,1245.0,449,1830.0,0.98,0.0,0.02,0.0,0.0,0.02,-37.18570387354468,174.8261488006951
2018-02-08,MELLONS BAY RD,SEYMOUR RD,END (CARPARK-PP LHS),1585.0,1390.0,965.0,838.0,347,,186,1245.0,279,1445.0,0.98,0.0,0.02,0.0,0.0,0.02,-36.88659551023049,174.9320906636539
2018-02-08,FITZHERBERT AVE,ST MARGARET PL,HUEGLOW RISE,690.0,631.0,480.0,484.0,88,,66,,99,,0.98,0.0,0.02,0.0,0.0,0.02,-36.82072444608545,174.6210606006595
2018-02-08,ROLLERSON ST,SUTTON CRES,CROSS ST,1181.0,1018.0,700.0,521.0,135,,137,1245.0,139,1830.0,0.97,0.0,0.03,0.0,0.0,0.03,-37.05976932390799,174.95972015944338
2018-02-08,MCFADZEAN DR,DONOVAN ST,TERRY ST,867.0,771.0,589.0,477.0,183,,54,1145.0,103,1445.0,0.98,0.0,0.02,0.0,0.0,0.02,-36.92012405081969,174.7105564384607
2018-02-08,MELLONS BAY RD,CHERITON RD,PAISLEY ST,4360.0,3951.0,3202.0,2655.0,612,,388,1245.0,537,1445.0,0.97,0.01,0.02,0.0,0.0,0.02,-36.88988228511571,174.93061379998244
2018-02-08,LEGACY DR,CHISLEHURST ST,PARRS CROSS RD,342.0,318.0,262.0,256.0,31,,31,1145.0,44,1445.0,0.98,0.0,0.02,0.0,0.0,0.02,-36.903720559395936,174.62445375633777
2018-02-08,RHINEVALE CLOSE,RHINEVALE CL,CHARDON PL,468.0,458.0,446.0,419.0,42,,43,1145.0,48,1545.0,0.97,0.01,0.02,0.0,0.0,0.02,-36.8858463578465,174.61654564643422
2018-02-09,SEL PEACOCK DR,BUSCOMB AVE (LHS),WADIER PL,15980.0,14804.0,12701.0,11032.0,1278,,1150,,1375,,0.96,0.0,0.02,0.01,0.0,0.03,-36.875099982379666,174.63055648376786
2018-02-09,QUINN RD,MARTYN WRIGHT RD,GEARON RD,298.0,262.0,185.0,157.0,35,845.0,31,1145.0,37,,0.86,0.03,0.09,0.01,0.0,0.1,-37.19505713472125,174.78430573979378
2018-02-09,SWANSON RD (HENDERSON),LARNOCH RD,RAKICH PL,25667.0,23553.0,19860.0,16674.0,2251,,1751,,1920,,0.94,0.0,0.03,0.02,0.0,0.05,-36.862591285246566,174.61389054672898
2018-02-09,SWANSON RD (HENDERSON),RANUI STATION RD,ARNEY RD,13394.0,12478.0,10999.0,9378.0,906,,964,,1037,,0.91,0.01,0.05,0.02,0.0,0.07,-36.8638688165011,174.60140961853514
2018-02-09,HENDERSON VALLEY RD,WOODRUFFE AVE,GARELJA RD,17066.0,15301.0,12181.0,9593.0,1436,,1224,,1557,,0.93,0.01,0.04,0.01,0.0,0.06,-36.88866215096939,174.62685013764494
2018-02-09,PARAMOUNT DR,LINCOLN RD,SOLJAN DR,2878.0,2414.0,1463.0,1043.0,301,,297,,343,,0.93,0.0,0.05,0.01,0.0,0.07,-36.85473034817814,174.63244539300848
2018-02-09,GLENBROOK RD,GLENBROOK STATION RD,SPEED RESTRICTION,10822.0,9571.0,7139.0,5750.0,918,745.0,705,1115.0,1056,1500.0,0.89,0.02,0.07,0.01,0.01,0.09,-37.19486506132028,174.75918856055722
2018-02-09,GLENBROOK RD,END PASSING LANE (POWERPOLE RHS),GEARON RD,9849.0,8747.0,6625.0,5359.0,865,745.0,589,1115.0,992,1500.0,0.89,0.02,0.07,0.01,0.01,0.09,-37.18530726105673,174.77516573959304
2018-02-09,HENDERSON VALLEY RD,ALBERT PRYOR AVE,SMYTHE RD (LHS),21618.0,19156.0,14564.0,11436.0,1693,,1646,,1743,,0.92,0.0,0.05,0.02,0.01,0.07,-36.880665262434476,174.6289581414238
2018-02-09,GLENBROOK-WAIUKU RD,BROOKSIDE RD (LIGHTPOLE LHS),SPEED DERESTRICTION,8901.0,8003.0,6339.0,5178.0,692,745.0,596,1115.0,888,1500.0,0.91,0.02,0.06,0.0,0.0,0.07,-37.203466591495285,174.75411498236136
2018-02-09,EDMONTON RD,VODAVONICH RD,STRID RD,22741.0,20960.0,18169.0,14842.0,1611,,1569,,1775,,0.94,0.0,0.03,0.02,0.0,0.05,-36.86921109557478,174.63994457860176
2018-02-09,EDMONTON RD,MATUHI RISE,CENTRAL PARK DR,34126.0,31199.0,26216.0,21549.0,2436,,2474,,2746,,0.94,0.0,0.03,0.01,0.0,0.05,-36.87529664641234,174.6385376517385
2018-02-09,IRWIN RD,KINGSEAT RD,RYAN RD,290.0,258.0,195.0,166.0,37,730.0,31,1145.0,37,1500.0,0.82,0.04,0.13,0.01,0.0,0.14,-37.15541279749766,174.80665996529714
2018-02-09,MORLEY RD,RAIL CROSSING,GLENBROOK-WAIUKU RD,1018.0,872.0,540.0,472.0,135,600.0,72,1230.0,127,,0.91,0.01,0.07,0.0,0.0,0.07,-37.220071755212146,174.7508480217921
2018-02-09,CENTRAL PARK DR,SWAN LANE,SCHOOL RD (LPOLE LHS),14592.0,13107.0,10278.0,8507.0,1287,,1111,,1443,,0.95,0.01,0.04,0.01,0.0,0.04,-36.867174771103684,174.63727598659838
2018-02-09,MISSION BUSH RD,WILLIAMS RD,STEEL MILL ENTRANCE,2283.0,1891.0,1014.0,806.0,315,600.0,136,1230.0,262,,0.92,0.01,0.06,0.01,0.01,0.07,-37.212777759609985,174.73817077442237
2018-02-09,CENTRAL PARK DR,PARAMOUNT DR,TONY ST,16898.0,14694.0,10514.0,7852.0,1452,,1432,,1505,,0.92,0.01,0.05,0.01,0.0,0.07,-36.85282783218928,174.63576975756504
2018-02-09,CENTRAL PARK DR,COLLARD PL,SOLJAN DRIVE (EAST),16948.0,14741.0,10607.0,7845.0,1405,,1410,,1473,,0.92,0.01,0.06,0.01,0.0,0.07,-36.85236067746367,174.6343465811262
2018-02-09,SWANSON RD (HENDERSON),RATHGAR RD,BRICK ST,17132.0,15624.0,12919.0,10787.0,1432,,1263,,1322,,0.95,0.0,0.03,0.01,0.0,0.04,-36.86765310746603,174.6161621680338
2018-02-09,HENDERSON VALLEY RD,CORBAN AVE,SPODE PL,17975.0,16436.0,13769.0,11408.0,1601,,1263,,1631,,0.95,0.01,0.04,0.01,0.0,0.05,-36.892452424312886,174.62124107760016
2018-02-09,HENDERSON VALLEY RD,CANDIA RD,GUM RD,3758.0,3325.0,2392.0,2093.0,509,,263,,501,,0.94,0.01,0.04,0.01,0.0,0.05,-36.89763758617173,174.59510087333663
2018-02-09,ARNEY RD (WAITAKERE),SWANSON RD,ROBERTSON RD,1058.0,963.0,750.0,702.0,130,,75,,106,,0.96,0.0,0.03,0.01,0.0,0.04,-36.86553783568265,174.60129862367918
2018-02-09,WELLINGTON ST (PUKEKOHE),WARD ST RAB,JACARANDA CRT,2253.0,2016.0,1473.0,1370.0,251,,205,1245.0,222,1830.0,0.92,0.01,0.07,0.0,0.0,0.07,-37.212396962648896,174.89686147254127
2018-02-09,BARRACK RD,BANKS RD,BERTRAND RD RAB,6780.0,6220.0,5232.0,4412.0,654,,473,,673,,0.97,0.0,0.02,0.01,0.0,0.03,-36.901441760406996,174.83771096711695
2018-02-09,WADE RIVER RD,WHANGAPARAOA RD,LINK CRES,4825.0,4450.0,3934.0,3090.0,467,,482,,550,,0.97,0.01,0.01,0.01,0.0,0.02,-36.63738836824587,174.74756785913343
2018-02-09,KINGSEAT RD,PEARSON RD,GLENBROOK RD (LHS),2968.0,2690.0,2255.0,1734.0,290,830.0,237,,296,,0.89,0.02,0.09,0.0,0.0,0.09,-37.17029371004632,174.80721701346317
2018-02-09,BROOKSIDE RD,GLENBROOK RD,REG BENNETT RD,2226.0,1833.0,963.0,740.0,256,,160,,222,,0.75,0.01,0.16,0.02,0.06,0.24,-37.20262481617361,174.74765047329961
2018-02-09,WHANGAPARAOA RD,BRIGHTSIDE RD,WIRIANA PL,27420.0,25388.0,22323.0,18293.0,1984,,2009,,2255,,0.96,0.01,0.02,0.01,0.0,0.03,-36.62722368036424,174.7276000721292
2018-02-09,REYNELLA DR,BROADFIELD ST RAB,GALLONY AVE RAB,2175.0,1989.0,1629.0,1423.0,321,,132,1145.0,247,1445.0,0.94,0.0,0.03,0.03,0.0,0.06,-36.840331910542105,174.61024892752397
2018-02-09,KINGSEAT RD,GLENBROOK RD (LHS),IRWIN RD,5953.0,5304.0,4058.0,3301.0,591,,386,,583,,0.87,0.02,0.11,0.0,0.0,0.11,-37.164572219854286,174.80473828726306
2018-02-09,WHANGAPARAOA RD,DOBELL RD,D'OYLY DR,29419.0,27291.0,24158.0,19785.0,2171,,2160,930.0,2369,,0.96,0.01,0.02,0.01,0.0,0.03,-36.623434359085024,174.7203698046068
2018-02-09,REID RD (GLENBROOK),MCKINNEY RD,SMALLEY RD,338.0,322.0,299.0,265.0,36,845.0,41,1145.0,42,1415.0,0.87,0.02,0.09,0.01,0.01,0.1,-37.185644963649764,174.76220766854007
2018-02-09,GLENBROOK RD,KINGSEAT RD,PEARSON RD,10543.0,9377.0,7147.0,5776.0,921,,650,,1037,,0.86,0.02,0.1,0.01,0.01,0.12,-37.168918034138194,174.80285947397175
2018-02-09,WHANGAPARAOA RD,KAREPIRO DR,WOOLWORTHS DRIVEWAY,24115.0,22672.0,20755.0,17377.0,1730,,1917,,1961,,0.95,0.01,0.03,0.01,0.0,0.04,-36.635067856490075,174.74353384793068
2018-02-10,PICASSO DR,MARINA VIEW DR,VERMEER PL,966.0,854.0,644.0,504.0,178,,82,,168,,0.96,0.01,0.03,0.0,0.0,0.03,-36.81706734351237,174.63994106018015
2018-02-10,WHANGARIPO VALLEY RD,RUSTYBROOK RD,BORROWS RD,1564.0,1332.0,849.0,653.0,156,,161,930.0,220,,0.85,0.02,0.09,0.02,0.02,0.13,-36.291874403930215,174.54380475976998
2018-02-10,WHANGARIPO VALLEY RD,WAYBY VALLEY RD,TOMARATA VALLEY RD,1697.0,1423.0,830.0,649.0,190,,165,930.0,231,,0.78,0.02,0.06,0.05,0.09,0.2,-36.282064530636774,174.56820633774396
2018-02-10,WHAREHINE RD,RUN RD,PAH HILL RD,460.0,416.0,348.0,267.0,47,,43,930.0,56,1745.0,0.83,0.03,0.09,0.02,0.03,0.14,-36.31372116754907,174.42210139538258
2018-02-10,WISELEY RD,LIMEBURNERS CL,WILLIAMS RD RAB,2137.0,1962.0,1641.0,1408.0,207,,154,930.0,238,1745.0,0.93,0.0,0.06,0.01,0.0,0.07,-36.80039154571714,174.647151047001
2018-02-10,RAHUIKIRI RD,PAKIRI BLOCK RD,START OF SEAL,61.0,52.0,35.0,23.0,10,645.0,10,,13,,0.84,0.01,0.1,0.05,0.0,0.15,-36.231920534126274,174.70307201592027
2018-02-13,SOUTH HEAD RD,MCLEOD RD,FULLER RD,476.0,465.0,396.0,477.0,57,,70,,69,,0.87,0.03,0.08,0.01,0.01,0.1,-36.52697157923802,174.2926797266997
2018-02-13,ESPLANADE RD,PUKA ST,VIEW RD (LHS),6730.0,5908.0,4251.0,3455.0,683,,419,,775,,0.92,0.0,0.04,0.02,0.0,0.06,-36.87317283194438,174.75993767715605
2018-02-13,DUKE ST (THREE KINGS),CONNOLLY AVE,MT EDEN RD,5145.0,4846.0,4228.0,3967.0,485,,349,,494,,0.96,0.0,0.02,0.01,0.0,0.03,-36.899966352688224,174.75528946461057
2018-02-13,DORNWELL RD,CARR RD,FRED WOODWARD PL,1360.0,1258.0,1136.0,870.0,139,,108,,196,,0.96,0.0,0.02,0.0,0.0,0.03,-36.91249653069103,174.75213065744242
2018-02-13,WATERLOO RD (SILVERDALE),WAINUI RD,END OF SEAL,126.0,115.0,107.0,67.0,24,,22,930.0,19,,0.94,0.0,0.05,0.01,0.0,0.06,-36.61486505848866,174.66691113848745
2018-02-13,CARLTON ST,HILLSBOROUGH RD,VIKING AVE,3609.0,3343.0,2840.0,2514.0,293,,266,,581,,0.94,0.0,0.03,0.0,0.0,0.04,-36.92134374218958,174.75910236525868
2018-02-13,SOUTH HEAD RD,SHINE RD,MCLEOD RD,799.0,748.0,581.0,662.0,94,,84,,91,,0.84,0.02,0.08,0.04,0.02,0.14,-36.55974465239175,174.3168809865421
2018-02-13,SOUTH HEAD RD,TARAWERA RD,BRIDGE,2111.0,2089.0,2049.0,2019.0,198,,205,,212,,0.85,0.04,0.08,0.02,0.01,0.11,-36.62250139007079,174.35080364593284
2018-02-13,MELROSE RD EAST,MELROSE RD,CUL-DE-SAC,7583.0,7302.0,6915.0,6284.0,609,,547,,845,,0.96,0.0,0.02,0.01,0.0,0.03,-36.917126824579704,174.75535724945746
2018-02-13,MT EDEN RD,KINGSVIEW RD,BALMORAL RD (LHS),19344.0,18424.0,17338.0,14914.0,1403,,1285,,1571,,0.93,0.0,0.02,0.02,0.0,0.05,-36.88888953437104,174.76011895518127
2018-02-13,MATHESON RD 2 (WELLSFORD),WORTHINGTON RD,MATHESON RD SIGN,1784.0,1660.0,1425.0,1277.0,173,,184,,230,,0.88,0.03,0.04,0.03,0.02,0.09,-36.2928800963939,174.53219912581474
2018-02-13,RICHARDSON RD (MT ROSKILL),NASH RD,GLASS RD,8935.0,8565.0,7937.0,7341.0,1041,,637,,780,,0.97,0.0,0.02,0.0,0.0,0.02,-36.92240104584905,174.73933503091794
2018-02-13,SANDRINGHAM RD EXTN,SKEATES AVE,FARRELLY AVE,16532.0,16360.0,16459.0,15400.0,1090,,1249,,1334,,0.95,0.0,0.02,0.01,0.0,0.04,-36.902478062448566,174.72969078335794
2018-02-13,DAIRY FLAT HIGHWAY,URBAN_RURAL,GREENS RD,10147.0,9312.0,8049.0,6397.0,964,,784,,1123,,0.83,0.02,0.11,0.03,0.01,0.15,-36.675521162762955,174.63951607642102
2018-02-13,WHITE SWAN RD,PASCOE ST,HAYCOCK AVE,15914.0,14979.0,13630.0,11651.0,1432,,995,,1531,,0.95,0.0,0.03,0.01,0.0,0.04,-36.91613222243656,174.72294972986577
2018-02-13,TOTARA RD (WHENUAPAI),SPEED DERESTRICTION,DALE RD,2982.0,2834.0,2601.0,2329.0,249,,237,,289,,0.91,0.02,0.04,0.02,0.01,0.07,-36.79066377493898,174.61376991408287
2018-02-13,DALE RD (WAITAKERE),TOTARA RD,RIVERLEA RD,1432.0,1324.0,1122.0,986.0,125,,114,,145,,0.9,0.01,0.06,0.02,0.01,0.09,-36.78841143989019,174.61368904626178
2018-02-14,BALMORAL RD (MT EDEN),MORVERN RD,FERRYHILL RD,25091.0,24127.0,23256.0,20177.0,1677,,1858,,2158,,0.9,0.02,0.02,0.03,0.01,0.06,-36.89060233159303,174.76435510201446
2018-02-14,DAIRY FLAT HIGHWAY,PINE VALLEY RD,WILKS RD LHS,9700.0,9039.0,8276.0,6493.0,854,,815,,899,,0.81,0.02,0.12,0.03,0.02,0.17,-36.636659748536694,174.65014515473314
2018-02-14,KAHIKATEA FLAT RD,TURLEY RD,AUSTIN RD,3786.0,3495.0,3116.0,2416.0,388,,441,,544,,0.86,0.03,0.06,0.03,0.02,0.11,-36.63897376955309,174.62409994413778
2018-02-14,DAIRY FLAT HIGHWAY,KAHIKATEA FLAT RD,URBAN_RURAL,10211.0,9436.0,8369.0,6629.0,936,,808,,1051,,0.84,0.02,0.1,0.03,0.01,0.14,-36.6509543583952,174.64176929848503
2018-02-14,GREEN LANE WEST,CORNWALL PARK ENT (LHS),GREENLANE HOSPITAL ENT,25997.0,25449.0,25651.0,22510.0,1744,,2128,,1846,,0.9,0.02,0.03,0.03,0.0,0.07,-36.89309902337115,174.78246840956052
2018-02-14,DUREY RD,AWANOHI RD,S HWAY 17,1142.0,1064.0,929.0,809.0,109,,88,,123,,0.91,0.02,0.05,0.02,0.0,0.07,-36.69113824438437,174.67668221186773
