Road Name,Carriageway Start Name,Carriageway End Name,Description (location of traffic count),Direction,Count Start Date,5 Day ADT,7 Day ADT,Saturday Volume,Sunday Volume,AM Peak Volume,AM Peak Hour,Mid Peak Volume,Mid Peak Hour,PM Peak Volume,PM Peak Hour,Car,LCV,MCV,HCV-I,HCV-II,HCV Total
REYNELLA DR,BROADFIELD ST RAB,GALLONY AVE RAB,E1743578  N5921630,Both,2018/2/9,2175,1989,1629,1423,321,,132,1145,247,1445,94%,0%,3%,3%,0%,6%
RHINEVALE CLOSE,RHINEVALE CL,CHARDON PL,E1744054  N5916571,Both,2018/2/8,468,458,446,419,42,,43,1145,48,1545,97%,1%,2%,0%,0%,2%
DAIRY FLAT HIGHWAY,PINE VALLEY RD,WILKS RD LHS,E1747525  N5944165,Both,2018/2/14,9700,9039,8276,6493,854,,815,,899,,81%,2%,12%,3%,2%,17%
SPEDDING RD,TRIG RD,MAMARI RD,E1743969  N5925802,Both,2018/2/20,286,285,302,266,44,,34,1230,38,,92%,2%,5%,1%,0%,6%
ARTILLERY DR,MAADI PL,IMJIN PL,E1773112  N5897357,Both,2018/2/8,396,360,308,234,79,,35,1245,65,,98%,0%,2%,0%,0%,2%
FAIRDALE AVE,GALILEE AVE,SHERALEE PL,E1775101  N5895948,Both,2018/2/8,576,533,491,365,52,,50,1245,60,1845,98%,0%,2%,0%,0%,2%
MELLONS BAY RD,CHERITON RD,PAISLEY ST,E1772035  N5915603,Both,2018/2/8,4360,3951,3202,2655,612,,388,1245,537,1445,97%,1%,2%,0%,0%,2%
MELLONS BAY RD,SEYMOUR RD,END (CARPARK-PP LHS),E1772174  N5915965,Both,2018/2/8,1585,1390,965,838,347,,186,1245,279,1445,98%,0%,2%,0%,0%,2%
MOUNTAIN RD (MANGERE),KAMAKA RD,PUTINI RD,E1759058  N5908882,Both,2018/2/8,2865,2502,1777,1412,309,,191,1245,380,1445,94%,0%,6%,0%,0%,6%
OLD WAIROA RD,PUKEROA PL,BRIGHTWELL ST,E1774292  N5897633,Both,2018/2/8,1789,1681,1591,1233,153,,132,1245,171,1445,93%,1%,5%,1%,0%,6%
ORION ST,MARNE RD,SMITHS AVE (CENTRE CROSSING LHS),E1773776  N5895471,Both,2018/2/8,512,467,378,330,51,,43,1245,59,1830,95%,1%,3%,1%,0%,4%
ROLLERSON ST,SUTTON CRES,CROSS ST,E1774241  N5896701,Both,2018/2/8,1181,1018,700,521,135,,137,1245,139,1830,97%,0%,3%,0%,0%,3%
STURDEE RD (MANUREWA),MARTIN RD,CLARK ST,E1762095  N5882965,Both,2018/2/8,2998,2541,1479,1318,720,,295,1245,449,1830,98%,0%,2%,0%,0%,2%
WELLINGTON ST (PUKEKOHE),WARD ST RAB,JACARANDA CRT,E1768313  N5879880,Both,2018/2/9,2253,2016,1473,1370,251,,205,1245,222,1830,92%,1%,7%,0%,0%,7%
FLETCHER LANE (PATUMAHOE),KINGSEAT RD,PAMELA CHRISTINE RD,E1762094  N5882966,Both,2018/2/7,412,380,339,263,61,,35,1245,44,1445,86%,1%,10%,2%,0%,12%
AIO WIRA RD,TE HENGA RD,END,E1735043  N5918292,Both,2018/2/22,49,43,20,33,11,700,9,1115,16,,95%,0%,3%,0%,0%,4%
ARRAN RD,HELVITIA DR,"BEND IN ROAD, NO. 97-99",E1754722  N5934237,Both,2018/2/23,4053,3965,3933,3557,363,700,329,1115,345,,95%,1%,3%,0%,0%,3%
BEACH RD (WAITAKERE),DURHAM ST,WAKAROA AVE,E1747699  N5922164,Both,2018/2/21,2594,2468,2237,2067,289,700,218,1115,263,,91%,1%,4%,3%,0%,7%
CLEARWATER COVE,REFLECTION DR,CLEARWATER COVE MARINA ACCESS,E1746594  N5924870,Both,2018/2/21,2275,2125,1809,1692,261,700,175,1115,268,,95%,1%,2%,0%,0%,3%
CLEVEDON RD,COSGRAVE RD,VALENTINE ST,E1774181  N5897261,Both,2018/2/26,15571,14568,12948,11174,1240,700,1178,1115,1375,,91%,1%,5%,2%,1%,8%
EAST ST (PAPAKURA),ELLIOT ST,WOOD ST,E1772601  N5896308,Both,2018/2/26,7334,6792,6135,4738,541,700,693,1115,751,,88%,1%,8%,2%,1%,11%
ELLIOT ST (PAPAKURA),GREEN ST (LHS),RAY SMALL DR (LHS),E1753476  N5913045,Both,2018/2/26,14521,13536,12240,9904,1080,700,1187,1115,1405,,93%,1%,5%,1%,0%,6%
FARQUHAR RD,FELGROVE ST,PHELPS PL,E1747210  N5915753,Both,2018/2/21,2450,2271,1978,1665,209,700,173,1115,244,,93%,1%,5%,0%,0%,6%
FERRY PDE,COLEMAN AVE,DUNCAN RISE,E1747640  N5928140,Both,2018/2/24,902,878,838,800,72,700,81,1115,96,,88%,1%,8%,1%,0%,9%
FINLOW DR,MCLEOD RD,DIVICH AVE,E1747108  N5917433,Both,2018/2/21,1504,1374,1113,989,190,700,132,1115,196,,96%,0%,2%,0%,0%,3%
GREAT SOUTH RD (PAPAKURA),PARKHAVEN DR,MIRO ST,E1772886  N5892930,Both,2018/2/26,15749,14529,11775,11186,1665,700,1341,1115,1484,,89%,1%,7%,1%,1%,9%
HELLYERS ST,BEACH HAVEN RD,PAPA PL,E1751508  N5927125,Both,2018/2/24,576,557,511,509,96,700,50,1115,62,,95%,1%,3%,1%,0%,3%
HELLYERS ST,BEACH HAVEN RD,PAPA PL,E1751559  N5926983,Both,2018/2/24,604,569,470,497,103,700,48,1115,62,,95%,0%,3%,0%,0%,3%
KAMARA RD,WEST COAST RD,CAPRICORN PL,E1746001  N5913782,Both,2018/2/21,1590,1577,1681,1410,133,700,146,1115,145,,97%,0%,1%,0%,0%,1%
KAURI RD (WHENUAPAI),BRIGHAM CREEK RD,RATA RD (LHS),E1746071  N5926922,Both,2018/2/23,4146,4105,4300,3702,347,700,366,1115,401,,92%,2%,4%,0%,0%,5%
KAY RD (WAITAKERE),WAITAKERE RD,SUNNYVALE RD,E1739470  N5919695,Both,2018/2/21,674,641,568,546,69,700,56,1115,80,,93%,1%,4%,1%,0%,5%
KEELING RD,HENDERSON VALLEY RD,AMOKURA ST,E1744979  N5916526,Both,2018/2/21,5021,4051,2045,1207,366,700,499,1115,464,,84%,1%,10%,3%,1%,14%
KEELING RD,RUPEKE PL,END,E1744599  N5916679,Both,2018/2/21,1101,916,488,421,106,700,132,1115,125,,83%,1%,10%,3%,0%,13%
LANGTON RD,VIPOND RD,KAURI RD,E1755306  N5945262,Both,2018/2/23,2150,1984,1596,1542,224,700,157,1115,313,,96%,1%,2%,0%,0%,2%
LEVESQUE ST,CHIPPENDALE CRES WEST,CHIPPENDALE CRES EAST,E1751935  N5926870,Both,2018/2/22,656,627,633,475,65,700,52,1115,74,,93%,0%,4%,2%,0%,6%
LONELY TRACK RD (ALBANY),EAST COAST RD,GILLS RD,E1752895  N5936241,Both,2018/2/19,2620,2461,2167,1964,294,700,200,1115,385,,90%,0%,5%,2%,0%,7%
LONELY TRACK RD (ALBANY),EAST COAST RD,GILLS RD,E1753367  N5936475,Both,2018/2/14,2909,2714,2505,1949,356,700,207,1115,382,,92%,1%,3%,2%,0%,5%
LYONS AVE,SADDLEBACK RISE,WYOMING AVE,E1756081  N5933720,Both,2018/2/23,3058,2704,1959,1681,810,700,181,1115,356,,98%,0%,1%,0%,0%,1%
MCFARLAND ST,REMUERA RD,GRAND DR,E1762726  N5917078,Both,2018/2/20,3230,2985,2529,2216,410,700,230,1115,326,,95%,0%,3%,1%,0%,3%
OLD WAIROA RD,BUNNYTHORPE RD,YANG PL,E1773826  N5897457,Both,2018/2/26,3586,3273,2633,2350,494,700,256,1115,434,,88%,1%,9%,1%,0%,11%
ONSLOW RD (PAPAKURA),RAILWAY OVERBRIDGE (1ST ABUTMENT),RON KEAT DR,E1773266  N5895890,Both,2018/2/26,4037,3527,2538,1967,399,700,245,1115,437,,94%,0%,4%,0%,0%,4%
PARK HILL RD (GLENFIELD),WIDTH CHANGE,BERNE PL,E1753321  N5925634,Both,2018/2/22,1839,1733,1599,1338,223,700,157,1115,211,,95%,1%,2%,1%,0%,3%
PARK HILL RD (GLENFIELD) 2,WIDTH CHANGE,BERNE PL,E1753543  N5925807,Both,2018/2/22,2075,1971,1864,1555,234,700,173,1115,239,,94%,1%,3%,1%,0%,4%
PARRS CROSS RD,BRUCE MCLAREN RD,LEGACY DR,E1744567  N5914515,Both,2018/2/21,20964,19616,17599,14890,1872,700,1443,1115,2028,,94%,1%,4%,1%,0%,5%
RUZE VIDA DR,MORIE RD,FRESIL LANE,E1744650  N5923085,Both,2018/2/22,1346,1308,1251,1179,117,700,112,1115,121,,95%,0%,3%,0%,0%,3%
SETTLEMENT RD (PAPAKURA),KING EDWARD AVE,RAILWAY OVERBRIDGE (1ST ABUTMENT),E1773201  N5895708,Both,2018/2/27,19208,17974,15934,13844,1573,700,1323,1115,1558,,85%,1%,6%,3%,4%,12%
THE TERRACE (WAITAKERE),GEORGE AVE,HOLGATE AVE (DRIVEWAY OS-67),E1747805  N5928418,Both,2018/2/24,596,604,576,672,46,700,70,1115,73,,86%,1%,8%,2%,0%,10%
WIRIHANA RD,KAURIMU RISE,KONINI RD,E1746716  N5911532,Both,2018/2/21,919,851,718,644,127,700,65,1115,105,,94%,0%,3%,1%,0%,4%
WOOD ST (PAPAKURA),DUKE ST,MENARY ST,E1772554  N5896183,Both,2018/2/26,2931,2703,2323,1944,213,700,243,1115,344,,88%,0%,3%,2%,0%,5%
BAYVIEW RD (BAYVIEW),MANUKA RD,LEIGH TCE,E1752692  N5928706,Both,2018/2/24,2962,2811,2639,2225,325,,225,,302,,96%,0%,2%,0%,0%,3%
ANZAC AVE,PARLIAMENT ST,ALTEN RD,E1758113  N5920336,Both,2018/2/28,15852,15166,14104,12802,1334,,1003,,1316,,87%,0%,5%,4%,0%,9%
HOPETOUN ST,ST JAMES ST,PITT ST (LHS),E1756747  N5919734,Both,2018/2/28,12853,11999,11155,8575,1313,,770,,1134,,93%,0%,2%,1%,0%,3%
KARANGAHAPE RD,PITT ST,EAST ST,E1756757  N5919470,Both,2018/2/28,17165,17225,19249,15500,1186,,1100,,1206,,87%,1%,3%,3%,1%,7%
SYMONDS ST (CITY),WAKEFIELD ST,CITY RD,E1757375  N5919563,Both,2018/2/28,22303,21655,21588,18478,1860,,1579,,1814,,85%,0%,3%,5%,1%,9%
VINCENT ST (AUCKLAND),WIDTH CHANGE (SUMP LHS),PITT ST (LHS),E1756930  N5920013,Both,2018/2/28,7620,7124,6514,5252,703,,478,,708,,90%,0%,4%,1%,0%,5%
MATUA RD,KAURI GROVE DR,TAPU RD,E1737258  N5930095,Both,2018/2/27,3190,3016,2833,2333,239,,263,,310,,90%,1%,6%,1%,0%,8%
MATUA RD,TAPU RD,RURAL_URBAN,E1737364  N5930099,Both,2018/2/27,1764,1651,1486,1251,140,,171,,222,,89%,1%,8%,1%,0%,9%
NIKAU ST (WAITAKERE),MIRO ST,KUAKA PL,E1749252  N5914621,Both,2018/2/27,1340,1329,1365,1239,108,,103,,121,,93%,0%,3%,1%,0%,4%
NIKAU ST (WAITAKERE),QUEEN MARY AVE (POWERPOLE LHS),KELSTON ST,E1749327  N5914326,Both,2018/2/27,3558,3508,3554,3211,246,,267,,326,,96%,0%,2%,1%,0%,3%
ONETANGI RD,O'BRIEN RD,WAIATA RD,E1785087  N5925372,Both,2018/2/17,5597,5586,5946,5169,465,,580,,514,,89%,1%,6%,2%,0%,7%
SURFDALE RD,TETLEY RD,MARAMA AVE,E1780529  N5926383,Both,2018/2/17,8656,8342,8198,6917,789,,806,,877,,92%,1%,4%,1%,0%,6%
TAHI RD,OSTEND RD,POTO RD,E1783358  N5925884,Both,2018/2/17,2722,2321,1668,970,288,,341,,286,,92%,1%,3%,1%,0%,4%
WAIATA RD,ONETANGI RD,TRIG HILL RD,E1785552  N5925649,Both,2018/2/17,610,580,558,450,68,,79,,74,,90%,1%,6%,0%,0%,7%
WHAKARITE RD,WAITAI RD,HOMAI RD,E1782765  N5926174,Both,2018/2/17,1476,1448,1508,1247,157,,156,,135,,92%,2%,3%,0%,0%,3%
KIWI ESP,SHORTT AVE,BOYD AVE (AT TEE),E1758212  N5910264,Both,2018/2/19,753,881,1298,1101,89,,113,,133,,92%,1%,2%,0%,0%,3%
ORANGA AVE,WAITANGI RD,RAWHITI RD,E1760350  N5913680,Both,2018/2/19,5145,4512,3322,2539,590,,319,,819,,96%,1%,3%,0%,0%,3%
PARK AVE (PAPATOETOE),LENDENFELD DR,CLAUDE AVE,E1763472  N5905851,Both,2018/2/20,2964,2733,2305,2006,336,,229,,325,,97%,0%,2%,0%,0%,2%
AWHITU CENTRAL RD,AWHITU RD (SIGN LHS),KEMP RD,E1744263  N5894797,Both,2018/2/19,108,128,169,187,12,715,25,1015,27,,81%,6%,11%,1%,0%,13%
AWHITU RD,GORDON RD,TE TORO RD,E1749289  N5882806,Both,2018/2/18,2405,2450,2559,2570,220,715,248,1015,284,,89%,4%,7%,0%,0%,8%
AWHITU RD,KOHEKOHE-KARIOITAHI RD,COOPER RD,E1746274  N5883377,Both,2018/2/18,1446,1508,1644,1681,125,715,173,1015,202,,87%,4%,8%,1%,0%,9%
AWHITU RD,MAYHEAD RD,RIDGELEY RD,E1750882  N5878981,Both,2018/2/18,3624,3561,3466,3340,383,715,318,1015,330,,90%,3%,6%,0%,0%,7%
AWHITU RD,TAURANGARURU RD,MARAE O REHIA RD,E1751654  N5877080,Both,2018/2/18,4563,4433,4217,4001,430,715,396,1015,402,,91%,3%,5%,0%,0%,6%
AWHITU RD,TINDALL RD,KEMP RD,E1742903  N5891094,Both,2018/2/19,1184,1304,1527,1681,105,715,203,1015,195,,88%,4%,7%,1%,1%,8%
BARRIBALL RD,WAIUKU RD,BALDHILL RD,E1757655  N5877325,Both,2018/2/18,70,67,62,58,10,645,10,1015,15,,87%,5%,6%,0%,0%,7%
BLACKBRIDGE RD (KARAKA),WALTERS RD,LINWOOD RD,E1767263  N5891802,Both,2018/2/7,886,755,469,390,231,645,81,1015,96,,82%,2%,13%,1%,1%,15%
BOILER GULLY RD,ORUA BAY RD,MANUKAU HEADS RD,E1742988  N5896497,Both,2018/2/19,65,81,124,115,11,700,23,945,16,,85%,2%,13%,1%,0%,13%
BOUNDARY RD (WAIPIPI),KOHEKOHE-KARIOITAHI RD,AWHITU RD,E1750195  N5879532,Both,2018/2/18,142,126,98,77,19,900,22,930,18,,64%,2%,30%,2%,1%,33%
CHARLES RD,GLENBROOK RD,ERNEST GEORGE DR,E1766175  N5887546,Both,2018/2/7,1538,1319,823,722,174,830,117,930,174,,86%,2%,10%,1%,0%,12%
CHARLES RD,STAN WRIGHT RD,GALLOWAY RD,E1764770  N5890717,Both,2018/2/7,1136,968,573,518,146,830,81,930,139,,88%,2%,8%,1%,0%,10%
CLARKS BEACH RD,FARLEY RD,WHARF RD (POWERPOLE RHS),E1753659  N5888532,Both,2018/2/7,2806,2631,2436,1949,243,830,220,930,276,,88%,2%,10%,0%,0%,10%
COLLINGWOOD RD,KITCHENER RD,HYLAND PL,E1755063  N5876837,Both,2018/2/18,7530,7045,6052,5611,602,830,548,930,695,,88%,2%,9%,0%,0%,10%
CONSTABLE RD (WAIUKU),KING ST,LEONARD ST,E1753263  N5876124,Both,2018/2/18,6689,6371,5889,5263,648,830,560,930,731,,93%,1%,5%,0%,0%,6%
CRISPE RD,TORKAR RD,END,E1751885  N5888852,Both,2018/2/7,212,206,203,175,30,830,39,1345,29,,90%,1%,8%,0%,0%,8%
GLEESON RD,AWHITU RD,KOHEKOHE-KARIOITAHI RD,E1748772  N5881994,Both,2018/2/18,232,223,213,189,25,745,29,1115,29,1500,90%,3%,6%,0%,0%,7%
GLENBROOK RD,END PASSING LANE (POWERPOLE RHS),GEARON RD,E1757570  N5883095,Both,2018/2/9,9849,8747,6625,5359,865,745,589,1115,992,1500,89%,2%,7%,1%,1%,9%
GLENBROOK RD,GLENBROOK STATION RD,SPEED RESTRICTION,E1756132  N5882061,Both,2018/2/9,10822,9571,7139,5750,918,745,705,1115,1056,1500,89%,2%,7%,1%,1%,9%
GLENBROOK RD,GLENVALE WAY,KLIPSCH RD,E1758660  N5884136,Both,2018/2/17,10432,9686,8241,7400,866,745,671,1115,990,1500,90%,2%,6%,1%,1%,7%
GLENBROOK-WAIUKU RD,BROOKSIDE RD (LIGHTPOLE LHS),SPEED DERESTRICTION,E1755664  N5881115,Both,2018/2/9,8901,8003,6339,5178,692,745,596,1115,888,1500,91%,2%,6%,0%,0%,7%
HAMILTON RD (AWHITU),END OF SEAL,START OF SEAL,E1739657  N5891766,Both,2018/2/19,67,73,104,69,10,645,12,1115,19,1500,74%,1%,11%,10%,2%,23%
HAMLIN RD (AWHITU),LEES GULLY RD,J.RENALL RD,E1745677  N5886294,Both,2018/2/18,15,13,4,7,3,730,4,1000,5,1500,78%,2%,17%,0%,1%,18%
CEMETERY RD (AWHITU),POLLOK WHARF RD (SPEED RESTRICT),GIVEN RD,E1743991  N5887382,Both,2018/2/19,104,109,119,123,17,830,18,,15,,86%,4%,5%,2%,3%,10%
G.IRWIN RD,MANUKAU HEADS RD (SIGN RHS),END (GATE),E1739281  N5895666,Both,2018/2/19,16,14,13,7,4,745,9,1115,5,1500,78%,0%,2%,2%,0%,4%
HARBOURSIDE DR,SILKWOOD CRES,TOSCANA DR,E1771078  N5896240,Both,2018/2/7,3357,3113,2656,2350,304,730,239,1000,314,1500,93%,1%,5%,0%,0%,5%
IRWIN RD,KINGSEAT RD,RYAN RD,E1760429  N5886359,Both,2018/2/9,290,258,195,166,37,730,31,1145,37,1500,82%,4%,13%,1%,0%,14%
J.RENALL RD,AWHITU RD,HAMLIN RD (POWERPOLE RHS),E1743497  N5884881,Both,2018/2/18,53,47,34,33,10,645,8,1100,8,1545,91%,3%,5%,0%,0%,5%
KARAKA NORTH RD,LINWOOD RD,CATO PEART RD,E1767782  N5893356,Both,2018/2/7,757,659,457,372,67,645,79,1100,85,1545,85%,2%,8%,3%,2%,13%
KARIOITAHI RD,KOHEKOHE-KARIOITAHI RD,END,E1748846  N5873501,Both,2018/2/18,786,1043,1608,1760,101,645,193,1100,179,1545,93%,2%,5%,0%,0%,5%
KING ST (WAIUKU),EDGEWATER PDE,SANDSPIT RD,E1752848  N5876445,Both,2018/2/18,9317,8848,7987,7363,909,645,712,1100,877,1545,94%,2%,3%,0%,0%,4%
KINGSEAT RD,MCKENZIE RD RAB,SPEED RESTRICTION,E1759381  N5888429,Both,2018/2/7,6248,5571,4184,3574,670,645,365,1100,598,1545,89%,2%,9%,0%,0%,9%
KITCHENER RD (WAIUKU),COLLINGWOOD RD (AT TEE),HAMILTON DR (ISLAND),E1754288  N5876396,Both,2018/2/18,14855,13994,12658,11025,1197,,1105,,1362,,91%,2%,6%,0%,0%,7%
KOHEKOHE-KARIOITAHI RD,CORONATION RD,BOUNDARY RD (STRAINER POST RHS),E1747628  N5878158,Both,2018/2/18,73,69,53,67,7,600,10,,15,,78%,3%,13%,2%,2%,17%
LAING RD,LINWOOD RD,BRYANT RD (SIGN),E1764319  N5891751,Both,2018/2/7,269,231,153,118,27,600,34,1230,34,,88%,3%,8%,1%,0%,9%
LINWOOD RD,BLACKBRIDGE RD,BRIDGE (1ST ABUTMENT),E1766268  N5892274,Both,2018/2/7,9333,8294,6218,5177,996,600,544,1230,889,,92%,2%,6%,0%,0%,7%
MANUKAU HEADS RD,AWHITU CENTRAL RD,HAMILTON RD SLIP (SIDE CULVERT RHS),E1740747  N5893438,Both,2018/2/19,252,298,399,424,26,600,57,1230,63,,84%,3%,9%,1%,1%,12%
MCKENZIE RD (KINGSEAT),CHURCH VIEW RD,VILLAGE FIELDS RD,E1755861  N5888557,Both,2018/2/7,2898,2670,2264,1938,243,600,208,1230,278,,93%,2%,4%,0%,0%,5%
MCKENZIE RD (KINGSEAT),KINGSEAT RD RAB,WRIGHT RD,E1757771  N5889118,Both,2018/2/7,3266,2990,2494,2105,301,600,227,1230,312,,89%,2%,9%,0%,0%,9%
MISSION BUSH RD,WILLIAMS RD,STEEL MILL ENTRANCE,E1754230  N5880108,Both,2018/2/9,2283,1891,1014,806,315,600,136,1230,262,,92%,1%,6%,1%,1%,7%
MORLEY RD,RAIL CROSSING,GLENBROOK-WAIUKU RD,E1755340  N5879278,Both,2018/2/9,1018,872,540,472,135,600,72,1230,127,,91%,1%,7%,0%,0%,7%
ORUA BAY RD,GRAHAMS BEACH RD,BOILER GULLY RD,E1743334  N5896485,Both,2018/2/19,210,261,342,435,23,600,64,1230,52,1645,89%,3%,7%,1%,0%,8%
OSTRICH RD,EGGLETON RD,CUFF RD,E1763718  N5884717,Both,2018/2/20,1931,1778,1525,1267,207,600,127,1230,217,1645,84%,2%,12%,1%,1%,14%
OSTRICH RD,GLENBROOK RD,OSTRICH FARM RD,E1765049  N5886167,Both,2018/2/20,1895,1733,1448,1208,214,600,125,1230,225,1645,86%,2%,10%,1%,0%,11%
PATUMAHOE RD,POLLOCK RD,ROGERS RD,E1765347  N5879343,Both,2018/2/20,4457,4188,3815,3215,428,600,348,1230,478,1645,86%,2%,8%,1%,2%,11%
PATUMAHOE RD,WAIUKU RD,POLLOCK RD,E1765750  N5878742,Both,2018/2/20,3027,2882,2726,2314,282,,260,,336,,84%,3%,10%,1%,2%,14%
PERCY MILLEN DR,WAIAU PA RD,END,E1755883  N5887172,Both,2018/2/7,199,191,191,153,22,,23,945,30,,91%,3%,5%,1%,0%,6%
POLLOK WHARF RD,AWHITU RD,SPEED DERESTRICTION (CEMETERY RD),E1743857  N5888385,Both,2018/2/19,119,111,103,83,18,845,17,945,18,,80%,3%,10%,1%,3%,14%
QUINN RD,MARTYN WRIGHT RD,GEARON RD,E1758361  N5881998,Both,2018/2/9,298,262,185,157,35,845,31,1145,37,,86%,3%,9%,1%,0%,10%
REID RD (GLENBROOK),MCKINNEY RD,SMALLEY RD,E1756419  N5883079,Both,2018/2/9,338,322,299,265,36,845,41,1145,42,1415,87%,2%,9%,1%,1%,10%
SANDSPIT RD (WAIUKU),KING ST (LHS),BAY VIEW DR,E1752754  N5876676,Both,2018/2/18,2754,2482,1131,2476,420,845,297,1145,410,1415,96%,1%,2%,0%,0%,3%
SEAGROVE RD (WAIAU PA),CHURCH VIEW RD,WRIGHT RD,E1743683  N5891579,Both,2018/2/7,424,395,324,324,51,845,36,1300,50,1615,87%,3%,8%,1%,0%,9%
TAURANGARURU RD,URBAN RURAL,REWAREWA RD,E1751694  N5876846,Both,2018/2/18,555,524,466,430,77,845,52,1300,63,1615,91%,4%,4%,1%,0%,5%
TITI RD,WAIUKU RD,PILGRIM RD,E1760643  N5879668,Both,2018/2/20,1155,1084,1004,809,136,845,94,1300,138,1615,84%,2%,12%,0%,0%,13%
TRAM GULLY RD,AWHITU CENTRAL RD,ORUA BAY RD,E1744172  N5895476,Both,2018/2/19,498,586,751,862,51,845,112,1300,91,1615,87%,4%,8%,0%,0%,9%
UNION RD (PATUMAHOE),PATUMAHOE RD,TITI RD,E1761773  N5880702,Both,2018/2/20,992,889,706,561,136,845,106,1300,113,1615,87%,2%,9%,1%,1%,11%
URQUHART RD,LINWOOD RD,LAING RD,E1765201  N5893317,Both,2018/2/7,544,470,322,250,59,845,52,1300,59,1830,84%,2%,11%,1%,1%,13%
WAIAU PA RD,KINGSEAT RD,WHITECLIFFS DR,E1758382  N5886680,Both,2018/2/7,1901,1722,1452,1099,190,845,162,1300,199,1830,85%,3%,11%,0%,0%,12%
WAIUKU RD,MASTERS RD,SPEED RESTRICTION,E1755605  N5875826,Both,2018/2/19,6837,6549,6192,5466,632,845,576,1300,676,1830,91%,2%,6%,0%,0%,6%
